# ljz_20131022_MR_Chym1_ELUTE.mzML,,,,,,,,,,,,,,,,
index,id,event,analyzer,msLevel,rt,mzLow,mzHigh,basePeakMZ,basePeakInt,TIC,charge,precursorMZ,thermo_monoMZ,filterStringMZ,ionInjectionTime,obs.mass
46,0.1.2433,2,Unknown,ms2,783.53,99,924,101.0717,21588.15,186951.02,2,438.2381,438.238,438.24,120,874.4616
47,0.1.2447,2,Unknown,ms2,787.87,99,864,409.135,162162.66,1103452.5,2,409.7268,409.727,409.73,89.6246,817.439
48,0.1.2496,2,Unknown,ms2,803.74,99,924,101.0718,16563.28,120516.73,2,438.2388,438.2382,438.24,120,874.463
49,0.1.2527,2,Unknown,ms2,813.77,99,742,416.2263,22827.9,95477.73,2,350.692,350.6919,350.69,120,699.3694
50,0.1.2558,2,Unknown,ms2,824.11,99,924,101.0716,15784.84,122911.36,2,438.2385,438.2382,438.24,120,874.4624
51,0.1.2641,2,Unknown,ms2,851.15,99,924,513.3385,5620.18,43215.13,2,438.2384,438.2382,438.24,120,874.4622
52,0.1.2746,2,Unknown,ms2,884.9,99,1020,110.0721,10002.21,73012.23,3,323.1757,323.1752,323.18,120,966.5053
53,0.1.2799,2,Unknown,ms2,902.42,99,1061,335.1265,62243.57,195111.14,3,336.5067,336.5063,336.51,120,1006.498
54,0.1.2815,2,Unknown,ms2,907.62,99,1020,110.0721,13516.91,126984.28,3,323.1751,323.1753,323.18,120,966.5035
55,0.1.2909,2,Unknown,ms2,938.48,99,889,115.0872,6657.22,59755.65,2,422.2434,422.2436,422.24,120,842.4722
56,0.1.3159,2,Unknown,ms2,1020.62,99,909,473.2845,143920.2,1172271.5,2,430.7347,430.7346,430.73,120,859.4548
57,0.1.3189,2,Unknown,ms2,1030.17,99,1061,335.1265,72981.66,237162.81,3,336.5062,336.5062,336.51,120,1006.497
58,0.1.3254,2,Unknown,ms2,1050.97,99,1061,335.1263,65213.81,277855.44,3,336.5064,336.5062,336.51,120,1006.497
59,0.1.3319,2,Unknown,ms2,1071.61,99,1061,335.126,74150.38,316769.22,3,336.5064,336.5064,336.51,120,1006.497
60,0.1.3332,2,Unknown,ms2,1075.6,99,1061,359.0297,20828.78,92013.73,2,504.2566,504.2566,504.26,120,1006.499
61,0.1.3370,2,Unknown,ms2,1087.67,99,672,242.0937,522313.81,4942849.5,2,315.204,315.2039,315.2,105.5947,628.3934
62,0.1.3384,2,Unknown,ms2,1092.09,99,1061,335.1261,70825.53,357878.88,3,336.5066,336.5064,336.51,120,1006.498
63,0.1.3412,2,Unknown,ms2,1100.83,99,2359,204.0872,12900.23,96785.33,3,754.9805,754.9804,755.31,120,2261.92
64,0.1.3436,2,Unknown,ms2,1108.24,99,672,242.0938,551565,6517249,2,315.2039,315.2039,315.2,56.3371,628.3932
