# ljz_20131022_MR_Chym1_ELUTE.mzML
# index,id,event,analyzer,msLevel,rt,m/z,intensity
937,controllerType=0 controllerNumber=1 scan=940,1,Unknown,ms1,304.78,1077.1612,0.0000
1312,controllerType=0 controllerNumber=1 scan=1315,1,Unknown,ms1,425.95,1077.1530,0.0000
1312,controllerType=0 controllerNumber=1 scan=1315,1,Unknown,ms1,425.95,1077.1614,0.0000
1329,controllerType=0 controllerNumber=1 scan=1333,1,Unknown,ms1,431.76,1077.1530,0.0000
1329,controllerType=0 controllerNumber=1 scan=1333,1,Unknown,ms1,431.76,1077.1613,0.0000
1457,controllerType=0 controllerNumber=1 scan=1462,1,Unknown,ms1,474.21,1077.1527,20351.0020
1457,controllerType=0 controllerNumber=1 scan=1462,1,Unknown,ms1,474.21,1077.1611,8805.7490
1555,controllerType=0 controllerNumber=1 scan=1562,1,Unknown,ms1,506.49,1077.1528,10596.7783
1555,controllerType=0 controllerNumber=1 scan=1562,1,Unknown,ms1,506.49,1077.1612,24867.5430
1698,controllerType=0 controllerNumber=1 scan=1708,1,Unknown,ms1,553.20,1077.1527,0.0000
1698,controllerType=0 controllerNumber=1 scan=1708,1,Unknown,ms1,553.20,1077.1611,0.0000
1736,controllerType=0 controllerNumber=1 scan=1746,1,Unknown,ms1,565.29,1077.1528,0.0000
1736,controllerType=0 controllerNumber=1 scan=1746,1,Unknown,ms1,565.29,1077.1612,0.0000
1743,controllerType=0 controllerNumber=1 scan=1753,1,Unknown,ms1,567.50,1077.1528,9146.9258
1743,controllerType=0 controllerNumber=1 scan=1753,1,Unknown,ms1,567.50,1077.1612,0.0000
1787,controllerType=0 controllerNumber=1 scan=1800,1,Unknown,ms1,582.23,1077.1527,13516.4639
1787,controllerType=0 controllerNumber=1 scan=1800,1,Unknown,ms1,582.23,1077.1611,24682.5508
1835,controllerType=0 controllerNumber=1 scan=1850,1,Unknown,ms1,598.11,1077.1526,28419.9961
1835,controllerType=0 controllerNumber=1 scan=1850,1,Unknown,ms1,598.11,1077.1610,19757.0859
1905,controllerType=0 controllerNumber=1 scan=1922,1,Unknown,ms1,621.70,1077.1526,0.0000
1905,controllerType=0 controllerNumber=1 scan=1922,1,Unknown,ms1,621.70,1077.1610,0.0000
1988,controllerType=0 controllerNumber=1 scan=2008,1,Unknown,ms1,649.33,1077.1608,0.0000
2009,controllerType=0 controllerNumber=1 scan=2029,1,Unknown,ms1,656.06,1077.1609,0.0000
2021,controllerType=0 controllerNumber=1 scan=2041,1,Unknown,ms1,659.90,1077.1526,36827.3828
2021,controllerType=0 controllerNumber=1 scan=2041,1,Unknown,ms1,659.90,1077.1610,29705.2266
2102,controllerType=0 controllerNumber=1 scan=2124,1,Unknown,ms1,686.12,1077.1526,26891.2129
2102,controllerType=0 controllerNumber=1 scan=2124,1,Unknown,ms1,686.12,1077.1610,25858.3047
2248,controllerType=0 controllerNumber=1 scan=2282,1,Unknown,ms1,735.49,1077.1606,12317.0547
2274,controllerType=0 controllerNumber=1 scan=2311,1,Unknown,ms1,744.27,1077.1606,0.0000
2471,controllerType=0 controllerNumber=1 scan=2521,1,Unknown,ms1,811.87,1077.1527,0.0000
2471,controllerType=0 controllerNumber=1 scan=2521,1,Unknown,ms1,811.87,1077.1611,0.0000
2516,controllerType=0 controllerNumber=1 scan=2568,1,Unknown,ms1,827.14,1077.1526,10761.8281
2516,controllerType=0 controllerNumber=1 scan=2568,1,Unknown,ms1,827.14,1077.1610,0.0000
2709,controllerType=0 controllerNumber=1 scan=2763,1,Unknown,ms1,890.24,1077.1530,0.0000
2709,controllerType=0 controllerNumber=1 scan=2763,1,Unknown,ms1,890.24,1077.1614,0.0000
