# ljz_20131022_MR_Chym1_ELUTE.mzML
# index,id,event,analyzer,msLevel,rt,m/z,intensity
99,controllerType=0 controllerNumber=1 scan=102,1,Unknown,ms1,32.75,1191.8611,0.0000
144,controllerType=0 controllerNumber=1 scan=147,1,Unknown,ms1,47.20,1191.8612,0.0000
626,controllerType=0 controllerNumber=1 scan=629,1,Unknown,ms1,203.66,1191.8615,0.0000
679,controllerType=0 controllerNumber=1 scan=682,1,Unknown,ms1,220.69,1191.8613,0.0000
684,controllerType=0 controllerNumber=1 scan=687,1,Unknown,ms1,222.27,1191.8612,0.0000
841,controllerType=0 controllerNumber=1 scan=844,1,Unknown,ms1,273.87,1191.8611,0.0000
852,controllerType=0 controllerNumber=1 scan=855,1,Unknown,ms1,277.46,1191.8613,0.0000
931,controllerType=0 controllerNumber=1 scan=934,1,Unknown,ms1,302.89,1191.8612,0.0000
1092,controllerType=0 controllerNumber=1 scan=1095,1,Unknown,ms1,354.86,1191.8609,32237.9238
1321,controllerType=0 controllerNumber=1 scan=1324,1,Unknown,ms1,428.84,1191.8614,0.0000
1322,controllerType=0 controllerNumber=1 scan=1325,1,Unknown,ms1,429.15,1191.8614,0.0000
1337,controllerType=0 controllerNumber=1 scan=1341,1,Unknown,ms1,434.69,1191.8616,0.0000
1442,controllerType=0 controllerNumber=1 scan=1447,1,Unknown,ms1,469.27,1191.8613,0.0000
1618,controllerType=0 controllerNumber=1 scan=1625,1,Unknown,ms1,526.67,1191.8612,0.0000
1691,controllerType=0 controllerNumber=1 scan=1700,1,Unknown,ms1,550.85,1191.8612,0.0000
1714,controllerType=0 controllerNumber=1 scan=1724,1,Unknown,ms1,558.25,1191.8611,0.0000
1747,controllerType=0 controllerNumber=1 scan=1757,1,Unknown,ms1,568.76,1191.8611,0.0000
1852,controllerType=0 controllerNumber=1 scan=1868,1,Unknown,ms1,603.87,1191.8612,0.0000
1884,controllerType=0 controllerNumber=1 scan=1900,1,Unknown,ms1,614.57,1191.8610,0.0000
1921,controllerType=0 controllerNumber=1 scan=1939,1,Unknown,ms1,627.09,1191.8611,0.0000
2007,controllerType=0 controllerNumber=1 scan=2027,1,Unknown,ms1,655.32,1191.8612,0.0000
2032,controllerType=0 controllerNumber=1 scan=2053,1,Unknown,ms1,663.47,1191.8611,0.0000
2047,controllerType=0 controllerNumber=1 scan=2069,1,Unknown,ms1,668.45,1191.8610,29870.1152
2088,controllerType=0 controllerNumber=1 scan=2110,1,Unknown,ms1,681.60,1191.8610,0.0000
2127,controllerType=0 controllerNumber=1 scan=2150,1,Unknown,ms1,694.22,1191.8610,12550.5127
2162,controllerType=0 controllerNumber=1 scan=2186,1,Unknown,ms1,706.37,1191.8609,13639.3770
2327,controllerType=0 controllerNumber=1 scan=2370,1,Unknown,ms1,763.31,1191.8609,0.0000
2462,controllerType=0 controllerNumber=1 scan=2512,1,Unknown,ms1,808.82,1191.8613,0.0000
2467,controllerType=0 controllerNumber=1 scan=2517,1,Unknown,ms1,810.40,1191.8612,0.0000
2716,controllerType=0 controllerNumber=1 scan=2770,1,Unknown,ms1,892.60,1191.8613,0.0000
2937,controllerType=0 controllerNumber=1 scan=2994,1,Unknown,ms1,966.77,1191.8611,0.0000
3014,controllerType=0 controllerNumber=1 scan=3071,1,Unknown,ms1,991.83,1191.8613,0.0000
3025,controllerType=0 controllerNumber=1 scan=3082,1,Unknown,ms1,995.30,1191.8613,0.0000
3039,controllerType=0 controllerNumber=1 scan=3096,1,Unknown,ms1,1000.12,1191.8612,0.0000
3058,controllerType=0 controllerNumber=1 scan=3115,1,Unknown,ms1,1006.38,1191.8611,0.0000
3114,controllerType=0 controllerNumber=1 scan=3172,1,Unknown,ms1,1024.59,1191.8611,0.0000
3128,controllerType=0 controllerNumber=1 scan=3186,1,Unknown,ms1,1029.27,1191.8610,0.0000
3137,controllerType=0 controllerNumber=1 scan=3196,1,Unknown,ms1,1032.51,1191.8612,0.0000
3189,controllerType=0 controllerNumber=1 scan=3248,1,Unknown,ms1,1049.07,1191.8611,26708.3301
