# ljz_20131022_MR_Chym1_ELUTE.mzML
# index,id,event,analyzer,msLevel,rt,m/z,intensity
136,controllerType=0 controllerNumber=1 scan=139,1,Unknown,ms1,44.68,1137.8404,0.0000
136,controllerType=0 controllerNumber=1 scan=139,1,Unknown,ms1,44.68,1137.8495,0.0000
212,controllerType=0 controllerNumber=1 scan=215,1,Unknown,ms1,69.06,1137.8406,0.0000
212,controllerType=0 controllerNumber=1 scan=215,1,Unknown,ms1,69.06,1137.8497,0.0000
266,controllerType=0 controllerNumber=1 scan=269,1,Unknown,ms1,86.71,1137.8406,27691.6445
266,controllerType=0 controllerNumber=1 scan=269,1,Unknown,ms1,86.71,1137.8497,29892.8496
323,controllerType=0 controllerNumber=1 scan=326,1,Unknown,ms1,105.01,1137.8405,0.0000
323,controllerType=0 controllerNumber=1 scan=326,1,Unknown,ms1,105.01,1137.8496,0.0000
361,controllerType=0 controllerNumber=1 scan=364,1,Unknown,ms1,117.15,1137.8407,27336.0508
361,controllerType=0 controllerNumber=1 scan=364,1,Unknown,ms1,117.15,1137.8498,13971.3701
450,controllerType=0 controllerNumber=1 scan=453,1,Unknown,ms1,145.94,1137.8408,0.0000
450,controllerType=0 controllerNumber=1 scan=453,1,Unknown,ms1,145.94,1137.8499,0.0000
675,controllerType=0 controllerNumber=1 scan=678,1,Unknown,ms1,219.43,1137.8404,0.0000
675,controllerType=0 controllerNumber=1 scan=678,1,Unknown,ms1,219.43,1137.8495,0.0000
1134,controllerType=0 controllerNumber=1 scan=1137,1,Unknown,ms1,368.42,1137.8408,18019.8535
1134,controllerType=0 controllerNumber=1 scan=1137,1,Unknown,ms1,368.42,1137.8499,0.0000
1193,controllerType=0 controllerNumber=1 scan=1196,1,Unknown,ms1,387.19,1137.8408,0.0000
1193,controllerType=0 controllerNumber=1 scan=1196,1,Unknown,ms1,387.19,1137.8499,0.0000
1269,controllerType=0 controllerNumber=1 scan=1272,1,Unknown,ms1,412.02,1137.8408,0.0000
1269,controllerType=0 controllerNumber=1 scan=1272,1,Unknown,ms1,412.02,1137.8499,0.0000
1475,controllerType=0 controllerNumber=1 scan=1481,1,Unknown,ms1,480.04,1137.8496,0.0000
