# ljz_20131022_MR_Chym1_ELUTE.mzML
# index,id,event,analyzer,msLevel,rt,m/z,intensity
5074,controllerType=0 controllerNumber=1 scan=5774,1,Unknown,ms1,1753.81,845.0409,38704.3477
5076,controllerType=0 controllerNumber=1 scan=5781,1,Unknown,ms1,1755.25,845.0408,50752.0352
5077,controllerType=0 controllerNumber=1 scan=5787,1,Unknown,ms1,1756.45,845.0408,38463.6836
5078,controllerType=0 controllerNumber=1 scan=5788,1,Unknown,ms1,1756.81,845.0408,46983.8438
5079,controllerType=0 controllerNumber=1 scan=5794,1,Unknown,ms1,1757.83,845.0409,36857.3281
5080,controllerType=0 controllerNumber=1 scan=5795,1,Unknown,ms1,1758.20,845.0408,98302.7266
5082,controllerType=0 controllerNumber=1 scan=5808,1,Unknown,ms1,1760.34,845.0406,59076.0117
5083,controllerType=0 controllerNumber=1 scan=5813,1,Unknown,ms1,1761.19,845.0406,34475.4414
5086,controllerType=0 controllerNumber=1 scan=5819,1,Unknown,ms1,1762.65,845.0407,63161.4883
5087,controllerType=0 controllerNumber=1 scan=5824,1,Unknown,ms1,1763.56,845.0407,0.0000
5089,controllerType=0 controllerNumber=1 scan=5833,1,Unknown,ms1,1765.27,845.0407,77630.3047
5093,controllerType=0 controllerNumber=1 scan=5845,1,Unknown,ms1,1767.91,845.0408,43476.0508
5094,controllerType=0 controllerNumber=1 scan=5849,1,Unknown,ms1,1768.53,845.0405,119706.3594
5095,controllerType=0 controllerNumber=1 scan=5852,1,Unknown,ms1,1769.15,845.0406,74876.9766
5096,controllerType=0 controllerNumber=1 scan=5853,1,Unknown,ms1,1769.52,845.0406,29070.7383
5097,controllerType=0 controllerNumber=1 scan=5859,1,Unknown,ms1,1770.53,845.0405,133487.9063
5098,controllerType=0 controllerNumber=1 scan=5862,1,Unknown,ms1,1771.05,845.0406,145361.7188
5100,controllerType=0 controllerNumber=1 scan=5868,1,Unknown,ms1,1772.35,845.0406,152251.9063
5101,controllerType=0 controllerNumber=1 scan=5869,1,Unknown,ms1,1772.66,845.0406,39815.8828
5102,controllerType=0 controllerNumber=1 scan=5873,1,Unknown,ms1,1773.36,845.0405,126190.6406
5103,controllerType=0 controllerNumber=1 scan=5879,1,Unknown,ms1,1774.38,845.0405,22383.6621
5104,controllerType=0 controllerNumber=1 scan=5880,1,Unknown,ms1,1774.74,845.0420,161965.6875
5105,controllerType=0 controllerNumber=1 scan=5886,1,Unknown,ms1,1775.76,845.0404,71261.1172
5107,controllerType=0 controllerNumber=1 scan=5894,1,Unknown,ms1,1777.30,845.0412,118030.5938
5109,controllerType=0 controllerNumber=1 scan=5900,1,Unknown,ms1,1778.52,845.0405,114543.7188
5110,controllerType=0 controllerNumber=1 scan=5901,1,Unknown,ms1,1778.89,845.0420,161431.1250
5111,controllerType=0 controllerNumber=1 scan=5907,1,Unknown,ms1,1779.82,845.0405,32464.9199
5112,controllerType=0 controllerNumber=1 scan=5908,1,Unknown,ms1,1780.18,845.0393,104412.4375
5112,controllerType=0 controllerNumber=1 scan=5908,1,Unknown,ms1,1780.18,845.0451,39340.2695
5113,controllerType=0 controllerNumber=1 scan=5909,1,Unknown,ms1,1780.50,845.0412,341662.5625
5114,controllerType=0 controllerNumber=1 scan=5914,1,Unknown,ms1,1781.35,845.0408,72073.2188
5115,controllerType=0 controllerNumber=1 scan=5918,1,Unknown,ms1,1782.19,845.0381,150777.4688
5115,controllerType=0 controllerNumber=1 scan=5918,1,Unknown,ms1,1782.19,845.0440,87759.3125
5116,controllerType=0 controllerNumber=1 scan=5919,1,Unknown,ms1,1782.56,845.0426,108007.5078
5117,controllerType=0 controllerNumber=1 scan=5923,1,Unknown,ms1,1783.26,845.0421,46898.8945
5118,controllerType=0 controllerNumber=1 scan=5924,1,Unknown,ms1,1783.62,845.0407,97193.1250
5119,controllerType=0 controllerNumber=1 scan=5931,1,Unknown,ms1,1784.79,845.0406,97980.1406
5120,controllerType=0 controllerNumber=1 scan=5939,1,Unknown,ms1,1786.11,845.0405,63419.4063
5121,controllerType=0 controllerNumber=1 scan=5944,1,Unknown,ms1,1787.15,845.0405,54491.0938
5122,controllerType=0 controllerNumber=1 scan=5948,1,Unknown,ms1,1787.81,845.0406,0.0000
5123,controllerType=0 controllerNumber=1 scan=5954,1,Unknown,ms1,1788.91,845.0406,116704.3984
5125,controllerType=0 controllerNumber=1 scan=5963,1,Unknown,ms1,1790.59,845.0406,102779.8125
5126,controllerType=0 controllerNumber=1 scan=5970,1,Unknown,ms1,1791.72,845.0406,44502.9922
5127,controllerType=0 controllerNumber=1 scan=5973,1,Unknown,ms1,1792.27,845.0406,17963.7129
5129,controllerType=0 controllerNumber=1 scan=5980,1,Unknown,ms1,1793.65,845.0398,117482.0078
5129,controllerType=0 controllerNumber=1 scan=5980,1,Unknown,ms1,1793.65,845.0456,47899.4531
5130,controllerType=0 controllerNumber=1 scan=5984,1,Unknown,ms1,1794.35,845.0406,0.0000
5131,controllerType=0 controllerNumber=1 scan=5991,1,Unknown,ms1,1795.51,845.0407,79811.6328
5132,controllerType=0 controllerNumber=1 scan=5997,1,Unknown,ms1,1796.68,845.0406,0.0000
5133,controllerType=0 controllerNumber=1 scan=6003,1,Unknown,ms1,1797.61,845.0413,51446.0938
5134,controllerType=0 controllerNumber=1 scan=6010,1,Unknown,ms1,1798.78,845.0398,156667.1406
5134,controllerType=0 controllerNumber=1 scan=6010,1,Unknown,ms1,1798.78,845.0456,46334.9805
5135,controllerType=0 controllerNumber=1 scan=6016,1,Unknown,ms1,1799.79,845.0399,234441.9531
5135,controllerType=0 controllerNumber=1 scan=6016,1,Unknown,ms1,1799.79,845.0457,75880.1406
5136,controllerType=0 controllerNumber=1 scan=6024,1,Unknown,ms1,1801.11,845.0396,221179.8281
5136,controllerType=0 controllerNumber=1 scan=6024,1,Unknown,ms1,1801.11,845.0454,68988.6953
5137,controllerType=0 controllerNumber=1 scan=6032,1,Unknown,ms1,1802.31,845.0407,400173.7500
5138,controllerType=0 controllerNumber=1 scan=6033,1,Unknown,ms1,1802.67,845.0409,262205.6875
5139,controllerType=0 controllerNumber=1 scan=6037,1,Unknown,ms1,1803.37,845.0410,533594.6250
