# ljz_20131022_MR_Chym1_ELUTE.mzML
# index,id,event,analyzer,msLevel,rt,m/z,intensity
136,controllerType=0 controllerNumber=1 scan=139,1,Unknown,ms1,44.68,737.8653,0.0000
136,controllerType=0 controllerNumber=1 scan=139,1,Unknown,ms1,44.68,737.8700,0.0000
1132,controllerType=0 controllerNumber=1 scan=1135,1,Unknown,ms1,367.79,737.8655,21786.6016
1132,controllerType=0 controllerNumber=1 scan=1135,1,Unknown,ms1,367.79,737.8702,12567.5313
2427,controllerType=0 controllerNumber=1 scan=2476,1,Unknown,ms1,797.17,737.8652,22613.3027
2427,controllerType=0 controllerNumber=1 scan=2476,1,Unknown,ms1,797.17,737.8700,12546.0605
3215,controllerType=0 controllerNumber=1 scan=3275,1,Unknown,ms1,1057.47,737.8700,0.0000
3875,controllerType=0 controllerNumber=1 scan=3977,1,Unknown,ms1,1278.00,737.8651,11428.5186
3875,controllerType=0 controllerNumber=1 scan=3977,1,Unknown,ms1,1278.00,737.8699,0.0000
4163,controllerType=0 controllerNumber=1 scan=4289,1,Unknown,ms1,1374.61,737.8653,18830.3242
4163,controllerType=0 controllerNumber=1 scan=4289,1,Unknown,ms1,1374.61,737.8701,24868.3242
4207,controllerType=0 controllerNumber=1 scan=4335,1,Unknown,ms1,1388.89,737.8654,0.0000
4207,controllerType=0 controllerNumber=1 scan=4335,1,Unknown,ms1,1388.89,737.8702,0.0000
5090,controllerType=0 controllerNumber=1 scan=5834,1,Unknown,ms1,1765.64,737.8645,0.0000
5090,controllerType=0 controllerNumber=1 scan=5834,1,Unknown,ms1,1765.64,737.8692,0.0000
5109,controllerType=0 controllerNumber=1 scan=5900,1,Unknown,ms1,1778.52,737.8643,0.0000
5109,controllerType=0 controllerNumber=1 scan=5900,1,Unknown,ms1,1778.52,737.8690,0.0000
5490,controllerType=0 controllerNumber=1 scan=7613,1,Unknown,ms1,2092.79,737.8688,134809.6406
5548,controllerType=0 controllerNumber=1 scan=7868,1,Unknown,ms1,2138.65,737.8647,0.0000
5548,controllerType=0 controllerNumber=1 scan=7868,1,Unknown,ms1,2138.65,737.8694,0.0000
5550,controllerType=0 controllerNumber=1 scan=7875,1,Unknown,ms1,2140.02,737.8647,0.0000
5550,controllerType=0 controllerNumber=1 scan=7875,1,Unknown,ms1,2140.02,737.8694,0.0000
5551,controllerType=0 controllerNumber=1 scan=7882,1,Unknown,ms1,2141.12,737.8645,0.0000
5552,controllerType=0 controllerNumber=1 scan=7889,1,Unknown,ms1,2142.04,737.8645,156081.2656
5552,controllerType=0 controllerNumber=1 scan=7889,1,Unknown,ms1,2142.04,737.8693,178071.4688
5553,controllerType=0 controllerNumber=1 scan=7893,1,Unknown,ms1,2142.64,737.8645,0.0000
5553,controllerType=0 controllerNumber=1 scan=7893,1,Unknown,ms1,2142.64,737.8692,0.0000
5554,controllerType=0 controllerNumber=1 scan=7901,1,Unknown,ms1,2143.88,737.8643,0.0000
5554,controllerType=0 controllerNumber=1 scan=7901,1,Unknown,ms1,2143.88,737.8690,0.0000
5555,controllerType=0 controllerNumber=1 scan=7908,1,Unknown,ms1,2145.02,737.8644,0.0000
5555,controllerType=0 controllerNumber=1 scan=7908,1,Unknown,ms1,2145.02,737.8692,0.0000
5556,controllerType=0 controllerNumber=1 scan=7916,1,Unknown,ms1,2146.21,737.8643,0.0000
5556,controllerType=0 controllerNumber=1 scan=7916,1,Unknown,ms1,2146.21,737.8690,0.0000
5557,controllerType=0 controllerNumber=1 scan=7925,1,Unknown,ms1,2147.76,737.8642,0.0000
5557,controllerType=0 controllerNumber=1 scan=7925,1,Unknown,ms1,2147.76,737.8690,0.0000
5558,controllerType=0 controllerNumber=1 scan=7932,1,Unknown,ms1,2148.93,737.8670,0.0000
5559,controllerType=0 controllerNumber=1 scan=7939,1,Unknown,ms1,2150.04,737.8645,0.0000
5559,controllerType=0 controllerNumber=1 scan=7939,1,Unknown,ms1,2150.04,737.8693,0.0000
5560,controllerType=0 controllerNumber=1 scan=7947,1,Unknown,ms1,2151.28,737.8688,0.0000
5561,controllerType=0 controllerNumber=1 scan=7953,1,Unknown,ms1,2152.37,737.8645,0.0000
5562,controllerType=0 controllerNumber=1 scan=7954,1,Unknown,ms1,2152.73,737.8647,0.0000
5562,controllerType=0 controllerNumber=1 scan=7954,1,Unknown,ms1,2152.73,737.8694,0.0000
5635,controllerType=0 controllerNumber=1 scan=8357,1,Unknown,ms1,2222.45,737.8644,0.0000
5636,controllerType=0 controllerNumber=1 scan=8368,1,Unknown,ms1,2224.16,737.8650,0.0000
5636,controllerType=0 controllerNumber=1 scan=8368,1,Unknown,ms1,2224.16,737.8698,0.0000
5637,controllerType=0 controllerNumber=1 scan=8372,1,Unknown,ms1,2224.79,737.8645,0.0000
5637,controllerType=0 controllerNumber=1 scan=8372,1,Unknown,ms1,2224.79,737.8692,0.0000
5638,controllerType=0 controllerNumber=1 scan=8385,1,Unknown,ms1,2226.89,737.8688,0.0000
5639,controllerType=0 controllerNumber=1 scan=8387,1,Unknown,ms1,2227.46,737.8642,0.0000
5639,controllerType=0 controllerNumber=1 scan=8387,1,Unknown,ms1,2227.46,737.8690,0.0000
5640,controllerType=0 controllerNumber=1 scan=8397,1,Unknown,ms1,2228.99,737.8685,0.0000
5736,controllerType=0 controllerNumber=1 scan=8747,1,Unknown,ms1,2294.05,737.8651,0.0000
5736,controllerType=0 controllerNumber=1 scan=8747,1,Unknown,ms1,2294.05,737.8699,0.0000
5746,controllerType=0 controllerNumber=1 scan=8781,1,Unknown,ms1,2300.58,737.8642,0.0000
5746,controllerType=0 controllerNumber=1 scan=8781,1,Unknown,ms1,2300.58,737.8690,0.0000
5747,controllerType=0 controllerNumber=1 scan=8785,1,Unknown,ms1,2301.43,737.8644,45538.1211
5747,controllerType=0 controllerNumber=1 scan=8785,1,Unknown,ms1,2301.43,737.8691,0.0000
5748,controllerType=0 controllerNumber=1 scan=8795,1,Unknown,ms1,2302.91,737.8672,0.0000
5752,controllerType=0 controllerNumber=1 scan=8834,1,Unknown,ms1,2308.62,737.8652,0.0000
5752,controllerType=0 controllerNumber=1 scan=8834,1,Unknown,ms1,2308.62,737.8699,0.0000
5755,controllerType=0 controllerNumber=1 scan=8847,1,Unknown,ms1,2310.64,737.8677,0.0000
5796,controllerType=0 controllerNumber=1 scan=8969,1,Unknown,ms1,2335.29,737.8661,0.0000
5796,controllerType=0 controllerNumber=1 scan=8969,1,Unknown,ms1,2335.29,737.8709,0.0000
5805,controllerType=0 controllerNumber=1 scan=9026,1,Unknown,ms1,2344.95,737.8688,0.0000
5809,controllerType=0 controllerNumber=1 scan=9038,1,Unknown,ms1,2347.44,737.8679,0.0000
5874,controllerType=0 controllerNumber=1 scan=9271,1,Unknown,ms1,2391.86,737.8687,0.0000
5876,controllerType=0 controllerNumber=1 scan=9283,1,Unknown,ms1,2393.88,737.8657,0.0000
5876,controllerType=0 controllerNumber=1 scan=9283,1,Unknown,ms1,2393.88,737.8705,0.0000
5877,controllerType=0 controllerNumber=1 scan=9286,1,Unknown,ms1,2394.42,737.8646,0.0000
5877,controllerType=0 controllerNumber=1 scan=9286,1,Unknown,ms1,2394.42,737.8693,0.0000
5878,controllerType=0 controllerNumber=1 scan=9291,1,Unknown,ms1,2395.28,737.8650,0.0000
5878,controllerType=0 controllerNumber=1 scan=9291,1,Unknown,ms1,2395.28,737.8698,0.0000
5879,controllerType=0 controllerNumber=1 scan=9299,1,Unknown,ms1,2396.59,737.8682,0.0000
5880,controllerType=0 controllerNumber=1 scan=9303,1,Unknown,ms1,2397.37,737.8672,0.0000
5881,controllerType=0 controllerNumber=1 scan=9308,1,Unknown,ms1,2398.22,737.8645,104533.9609
5881,controllerType=0 controllerNumber=1 scan=9308,1,Unknown,ms1,2398.22,737.8693,122134.3438
5882,controllerType=0 controllerNumber=1 scan=9309,1,Unknown,ms1,2398.59,737.8646,0.0000
5882,controllerType=0 controllerNumber=1 scan=9309,1,Unknown,ms1,2398.59,737.8693,0.0000
5883,controllerType=0 controllerNumber=1 scan=9313,1,Unknown,ms1,2399.29,737.8658,0.0000
5883,controllerType=0 controllerNumber=1 scan=9313,1,Unknown,ms1,2399.29,737.8705,0.0000
5884,controllerType=0 controllerNumber=1 scan=9321,1,Unknown,ms1,2400.55,737.8661,0.0000
5884,controllerType=0 controllerNumber=1 scan=9321,1,Unknown,ms1,2400.55,737.8708,0.0000
5885,controllerType=0 controllerNumber=1 scan=9324,1,Unknown,ms1,2401.06,737.8646,0.0000
5885,controllerType=0 controllerNumber=1 scan=9324,1,Unknown,ms1,2401.06,737.8694,0.0000
5886,controllerType=0 controllerNumber=1 scan=9328,1,Unknown,ms1,2401.70,737.8648,0.0000
5886,controllerType=0 controllerNumber=1 scan=9328,1,Unknown,ms1,2401.70,737.8695,0.0000
5887,controllerType=0 controllerNumber=1 scan=9331,1,Unknown,ms1,2402.25,737.8646,0.0000
